Nome do órgão;Tipo de retorno principal (Se é E-mail, Telefone, Carta ou Site);Telefones;Site;E-mails;Nome do órgão principal (no caso de uma sub-unidade);CEPdoendereço;Logradouro do endereço;Número;Bairro;Cidade;Estado;Complemento;Tipo
 PROCON MUNICIPAL DE SAO LEOPOLDO;Site;(51) 3526-5144;https://www.saoleopoldo.rs.gov.br ;procon@saoleopoldo.rs.gov.br;;93.010-010;RUA  Dom João Becker;754;Centro;SAO LEOPOLDO;RS;;PROCON
 PROCON MUNICIPAL DE SAO LOURENCO;Carta ;(35)3332-3960/4040 (R: 118);www.saolourenco.mg.gov.br;procon@saolourenco.mg.gov.br;;37.470-000";Praça Duque de Caxias; nº 61 ;Centro;SAO LOURENCO;MG;;PROCON
 PROCON MUNICIPAL DE SAO LOURENCO DO OESTE;Site;(49) 3344-8581 e (49) 3344-8516;;procon@saolourenco.sc.gov.br;;89990-000;RUA  Duque de Caxias;789;Centro;SAO LOURANCO DOESTE;SC;;PROCON
 PROCON MUNICIPAL DE SAO LUIZ GONZAGA;Site;(55) 3352-3199;http://www.saoluizrs.com.br;procon@saoluizgonzaga.rs.gov.br;;97.800-000;RUA  Venâncio Aires;2.438;Centro;SAO LUIZ GONZAGA;RS;;PROCON
 PROCON MUNICIPAL DE SAO MANUEL;E-mail;(14)3841-4645;http://www.saomanuel.sp.gov.br;proconsaomanuel@hotmail.com ;;18650-000;RUA  Comendador José Manuel Pupo;538;Centro;SAO MANUEL;SP;;PROCON
 PROCON MUNICIPAL DE SAO MARCOS;Carta;(54) 3291-9900;http://cnes.datasus.gov.br;procon@saomarcos.rs.gov.br;;95.190-000;AVENIDA  Venâncio Aires;720;Centro;SAO MARCOS;RS;;PROCON
 PROCON MUNICIPAL DE SAO MATEUS DO SUL;Carta;(42) 3912-7040;http://www.saomateusdosul.pr.gov.br;proconsaomateusdosul.pr@gmail.com;;83900-000;RUA  21 de Setembro;750;Centro;SAO MATEUS DO SUL;PR;2º andar;PROCON
 PROCON MUNICIPAL DE SAO MIGUEL ARCANJO;Carta;(15)3279-1901;http://www.sjc.sp.gov.br/sao-miguel-arcanjo/;procon_smarcanjo@hotmail.com;;18230-000;RUA  Comendador Dante Carraro;811;Centro;SAO MIGUEL ARCANJO;SP;;PROCON
 PROCON MUNICIPAL DE SAO MIGUEL DO IGUACU;Carta;(45) 3565-8138;http://www.saomiguel.pr.gov.br;saomigueldoiguacupr@procon.pr.gov.br;;85877-000;RUA  Vânio Ghellere;64;Centro;SAO MIGUEL DO IGUACU;PR;;PROCON
 PROCON MUNICIPAL DE SAO MIGUEL DO OESTE;Carta;(49) 3622-8370;;procon@saomiguel.sc.gov.br;;89900-000  ;RUA  Marquês do Herval;810;CENTRO;SAO MIGUEL DO OESTE;SC;;PROCON
 PROCON MUNICIPAL DE SAO PAULO DO POTENGI;Carta;(84) 3251-5029;;proconsppotengi@rn.gov.br;;59460-000;RUA  Bento Urbano;121-175;Centro;SAO PAULO DO POTENGI;RN;Central do Cidadão;PROCON
 PROCON MUNICIPAL DE SAO PEDRO;Carta;(19)3481-9382;https://www.procon.sp.gov.br/sao-pedro/;procon.saopedro@saopedro.sp.gov.br;;13520-000;R. Malaquias Guerra;925;Centro;SAO PEDRO;SP;;PROCON
 PROCON MUNICIPAL DE SAO PEDRO DA ALDEIA;Carta;(22) 2627-6086 e (22) 2627-2321;;proconspa@hotmail.com;;28940-000;RUA  Hemogenes Freire da Costa;136;Centro;SAO PEDRO DA ALDEIA;RJ;;PROCON
 PROCON MUNICIPAL DE SAO ROQUE;Site;(11) 4784-2912;;procon@saoroque.sp.gov.br;;18130-490 ;RUA  PEDRO VAZ;146;CENTRO;SAO ROQUE;SP;;PROCON
 PROCON MUNICIPAL DE SAO SEBASTIAO;Carta;(12) 3865-1549;;proconss@saosebastiao.sp.gov.br;;11608-530;AVENIDA  GUARDA MOR LOBO VIANA;335;CENTRO;SAO SEBASTIAO;SP;;PROCON
 PROCON MUNICIPAL DE SAO SEBASTIAO DA GRAMA;Carta;(19)3646-9954;https://www.procon.sp.gov.br/sao-sebastiao-da-grama/;procon@ssgrama.sp.gov.br;;13790-000;Praça das Águas;100;Jardim São Domingos;SAO SEBASTIAO DA GRAMA;SP;;PROCON
 PROCON MUNICIPAL DE SAO SEBASTIAO DO CAI;Carta;(51) 3635-2530;http://www.saosebastiaodocai.rs.gov.br;procon@saosebastiaodocai.rs.gov.br;;95.760-000;RUA  Pinheiro Machado;562;Centro;SAO SEBASTIAO DO CAI;RS;;PROCON
 PROCON MUNICIPAL DE SAO SEPE;Carta;(55) 3233-1570;http://www.saosepe.rs.gov.br;proconsaosepe@gmail.com;;97.340-000;RUA  Plácido Chiquiti;1.150;Centro;SAO SEPE;RS;;PROCON
 PROCON MUNICIPAL DE SAO SIMAO;E-mail;(16)3984-9136;https://www.procon.sp.gov.br/sao-simao/;procon@saosimao.sp.gov.br ;;14200-000;AVENIDA  Simão da Silva Teixeira;2380;Centro;SAO SIMAO;SP;;PROCON
 PROCON MUNICIPAL DE SAO VICENTE;E-mail;(13) 3579-1303 e (13) 3579-1304;https://www.procon.sp.gov.br/sao-vicente/;atendimentoproconsv@hotmail.com;;11310-900;RUA  Frei Gaspar;384;Centro;SAO VICENTE;SP;Paço municipal;PROCON
 PROCON MUNICIPAL DE SAPEZAL;Carta;(65) 3383-1752;;procon@sapezal.mt.gov.br;;78365-000;AVENIDA  do Jaú;1850 SW;Jardim Ipe;SAPEZAL;MT;;PROCON
 PROCON MUNICIPAL DE SAPIRANGA;Carta;(51) 3959-1054;http://www.sapiranga.rs.gov.br ;proconsapiranga@gmail.com;;93.800-000;AVENIDA  João Correia;808;Centro;SAPIRANGA;RS;;PROCON
 PROCON MUNICIPAL DE SAPUCAIA DO SUL;Site;(51) 3453-5912;http://www.sapucaiadosul.rs.gov.br;proconsapucaiadosul@gmail.com;;93.220-050;AVENIDA  Assis Brasil;47;Centro;SAPUCAIA DO SUL;RS;Ao lado da Câmara de Vereadores;PROCON
 PROCON MUNICIPAL DE SARANDI;Site;(44) 3274-3910;http://www.sarandi.pr.gov.br;procon@sarandi.pr.gov.br;;87114-090;RUA  Castro Alves;952;Jardim Independência;SARANDI;PR;;PROCON
 PROCON MUNICIPAL DE SCHROEDER;Site;(47) 3374-6540;https://www.procon.sc.gov.br/;procon@schroeder.sc.gov.br;;89275-000;RUA  BLUMENAUO;320;CENTRO;SCHROEDER;SC;AO LADO DA BIBLIOTECA PÚBLICA MUNICIPAL CRUZ E SOUZA;PROCON
 PROCON MUNICIPAL DE SEARA;Site;(49) 3452-8333 e (49) 3452-0110;;procon@seara.sc.gov.br;;89770-000;AVENIDA  Anita Garibaldi;428;Centro ;SEARA;SC;;PROCON
 PROCON MUNICIPAL DE SERRA NEGRA;Carta;(19)3892-6561;https://www.procon.sp.gov.br/serra-negra/;procon.serranegra-sp@outlook.com;;13930-000;RUA  José Bonifácio;397;Centro;SERRA NEGRA;SP;;PROCON
 PROCON MUNICIPAL DE SERRA TALHADA;Carta;(87) 3831-1749;;luis.melo@procon.pe.gov.br;;56909-205;RUA  João Luís de Melo;2110;Tancredo Neves;SERRA TALHADA;PE;;PROCON
 PROCON MUNICIPAL DE SERRANA;Site;(16)3987-2866;https://www.procon.sp.gov.br/serrana/;proconserrana@bol.com.br;;14150-000;RUA  Dr. Tancredo de Almeida Neves;176;Jardim Boa Vista;SERRANA;SP;;PROCON
 PROCON MUNICIPAL DE SERTANIA ;Carta;(87) - 38411489;https://www.sertania.pe.gov.br/;proconsertania2017@outlook.com;;56600-000;Pça João Pereira Vale;88;Centro;SERTANIA;PE;;PROCON
 PROCON MUNICIPAL DE SERTANOPOLIS                                                                  ;Carta;(43) 3232-2485;http://www.sertanopolis.pr.gov.br;procon@sertanopolis.pr.gov.br;;86170-000;AVENIDA  Dr. Gervásio Morales;380;Centro;SERTANOPOLIS;PR;;PROCON
 PROCON MUNICIPAL DE SERTAOZINHO;Site;(16)3947-9292;https://www.procon.sp.gov.br/sertaozinho/;procon@sertaozinho.sp.gov.br;;14170-750;RUA  Jordão Borghetti;1661;Bairro Jardim São José;SERTAOZINHO;SP;;PROCON
 PROCON MUNICIPAL DE SEVERINIA;Carta;(17)3817-1331;https://www.procon.sp.gov.br/severinia/;procon@severinia.sp.gov.br;;14735-000;AVENIDA  Serino Sicchieri;s/n;Centro;SEVERINIA;SP;Praça Antonio Augusto Almodovar;PROCON
 PROCON MUNICIPAL DE SINOP;Site;(66) 3531-1512;;procon@sinop.mt.gov.br;;78550-238;RUA  DAS AROEIRAS;1116;CENTRO;SINOP;MT;;PROCON
 PROCON MUNICIPAL DE SOCORRO;Carta;(19)3855-2388;https://www.procon.sp.gov.br/socorro/;procon@socorro.sp.gov.br ;;13960-000;RUA  Dr. Alfredo de Carvalho Pinto;259;Centro;SOCORRO;SP;Casa do Cidadão;PROCON
 PROCON MUNICIPAL DE SOMBRIO;E-mail;(48) 3533-5274;https://www.procon.sc.gov.br/index.php/artigos-procons-municipais/251-procons; procon@sombrio.sc.gov.br;;88960-000;RUA  Celso Gervásio;182;Centro;SOMBRIO;SC;;PROCON
 PROCON MUNICIPAL DE SOROCABA;Site;(15)99198-2958;https://procon.sorocaba.sp.gov.br ;procon@sorocaba.sp.gov.br;;18047-620;AVENIDA Antônio CARLOS  Comitre;330;Portal da Colina;SOROCABA;SP;;PROCON
 PROCON MUNICIPAL DE SORRISO;Site;(66) 3907-8014;;proconsorriso@gmail.com / procon@sorriso.mt.gov.br;;78890-000;RUA  Mato Grosso;2458;Centro ;SORRISO;MT;;PROCON
 PROCON MUNICIPAL DE SOUSA;Site;(83) 3521-1042;;;;58801-455;RUA  JOSÉ VIEIRA FIGUEIREDO;S/N;AREIAS;SOUSA;PB;;PROCON
 PROCON MUNICIPAL DE SUMARE;Site;(19) 3873-1071;;procon.sumare@gmail.com;;13170-030;RUA  ANTONIO PEREIRA CAMARGO;300;CENTRO;SUMARE;SP;;PROCON
 PROCON MUNICIPAL DE SURUBIM ;Carta;(81) 3634-1183;;cassiomarcal@hotmail.com / surubim@procon.pe.gov.br;;55750-000;RUA  João Batista;142;CENTRO;SURUBIM;PE;;PROCON
 PROCON MUNICIPAL DE SUZANO;Site;(11)4744-7322 e (11)4744-7461;https://www.procon.sp.gov.br/suzano/;procon@suzano.sp.gov.br;;08675-000;RUA  Baruel ;126;Centro ;SUZANO;SP;;PROCON
 PROCON MUNICIPAL DE TABIRA ;Carta;;;procontabirape@gmail.com;;5678 00 00;AVENIDA  Coronel Zuza Barros ;S/N;Centro;TABIRA;PE;Predio Estação Cidadania;PROCON
 PROCON MUNICIPAL DE TABOAO DA SERRA;Carta;(11)4788-5417;https://www.procon.sp.gov.br/taboao-da-serra/;procon@taboaodaserra.sp.gov.br / procontaboao@gmail.com;;06754-160;Praça Miguel Ortega;280;Parque Assunção;TABOAO DA SERRA;SP;;PROCON
 PROCON MUNICIPAL DE TAMBAU;Carta;(19)3673-2503;https://www.procon.sp.gov.br/tambau;procon@tambau.sp.gov.br;;13710-000;RUA  Coronel José Vilella;297;Centro;TAMBAU;SP;;PROCON
 PROCON MUNICIPAL DE TANGARA ;Site;(49) 3532-7467;https://www.procon.sc.gov.br/;procon@tangara.sc.gov.br;;89642-000;AVENIDA  IRMÃO PICOLLI ;267;PARQUE ASSUNÇÃO;TANGARA;SC;;PROCON
 PROCON MUNICIPAL DE TANGARA DA SERRA;Site;(65) 3326-7387;;procon@tangaradaserra.mt.gov.br;;78300-000;AVENIDA  Brasil;50;Centro;TANGARA DA SERRA;MT;;PROCON
 PROCON MUNICIPAL DE TAPIRA;Carta ;(34)3633-1140;www.tapira.mg.gov.br;procon@tapira.mg.gov.br;;38.185-000";Praça São Sebastião; s/nº ; Centro;TAPIRA;MG;;PROCON
 PROCON MUNICIPAL DE TAPIRATIBA;E-mail;(19)3657-2153/ 2097;https://www.procon.sp.gov.br/tapiratiba;procon@tapiratiba.sp.gov.br ;;13760-000;R. Dr. Dino Bueno;199;Centro;TAPIRATIBA;SP;;PROCON
 PROCON MUNICIPAL DE TAPIRATIBA;E-mail;(19)3657-2153/ 2097;https://www.procon.sp.gov.br/tapiratiba;procon@tapiratiba.sp.gov.br ;;13760-000;R. Dr. Dino Bueno;199;Centro;TAPIRATIBA;SP;;PROCON
 PROCON MUNICIPAL DE TAPURAH;Carta;(66) 3547-1897;http://www.procon.mt.gov.br/-/13121432-tapurah;procon@tapurah.mt.gov.br;;78573-000;AVENIDA Paraná;1370;Centro;TAPURAH;MT;;PROCON
 PROCON MUNICIPAL DE TAQUARA;Carta;(51) 3541-9209;http://www.taquara.com.br;procon@taquara.rs.gov.br;;95.600-000;RUA  Tristão Monteiro;1.278;Centro;TAQUARA;RS;;PROCON
 PROCON MUNICIPAL DE TAQUARI;Carta;(51) 3653-3080;http://www.taquari-rs.com.br;procon@taquari.rs.gov.br;;95.860-000;RUA  Osvaldo Aranha;1.790;Centro;TAQUERI;RS;;PROCON
 PROCON MUNICIPAL DE TAQUARITINGA;Site;(16)3252-5427/3252-0421;https://www.procon.sp.gov.br/Taquaritinga;procon@taquaritinga.sp.gov.br;;15900-072;RUA  Romeo Mársico;200;Centro;TAQUARITINGA;SP;;PROCON
 PROCON MUNICIPAL DE TARUMA;Site;(18)3373-4514;https://www.procon.sp.gov.br/Taruma;procon.taruma@taruma.sp.gov.br;;19820-000;RUA  dos Crisantemos;202;Centro;TARUMA;SP;;PROCON
 PROCON MUNICIPAL DE TATUI;E-mail;(15) 3259-3422/3251-7515 e 3305-1013;https://www.procon.sp.gov.br/Tatui;procon@tatui.sp.gov.br;;18270-370;Praça Martinho Guedes;12;Centro;TATUI;SP;;PROCON
 PROCON MUNICIPAL DE TAUBATE;Site;(12)3624.6610 / 2708;https://www.procon.sp.gov.br/Taubate;pmt.procon@taubate.sp.gov.br / pgm.procon@taubate.sp.gov.br / zuleika.mribeiro@gmail.com;;12010-070;RUA  Carneiro de Souza;99;Centro;TAUBATE;SP;;PROCON
 PROCON MUNICIPAL DE TELEMACO BORBA;Carta;(42) 3904-1611;http://www.telemacoborba.pr.gov.br;procon@pmtb.pr.gov.br;;84261-400;AVENIDA  Presidente Kennedy;298;Centro;TELEMACO BORBA;PR;;PROCON
 PROCON MUNICIPAL DE TEODORO SAMPAIO;Carta;(18)3282-4299;https://www.procon.sp.gov.br/teodoro-sampaio;proconteodoro@hotmail.com;;19280-000;Pça Antonio Evangelista da Silva;1544;Centro;TEODORO SAMPAIO;SP;;PROCON
 PROCON MUNICIPAL DE TERESINA;Carta;(86) 3216-3040 e (86) 98871-2007;;proconteresina@gmail.com;;64051-005;AVENIDA  João XIII;2715;São Cristovão;TERESINA;PI;;PROCON
 PROCON MUNICIPAL DE TERESOPOLIS;Site;(21) 2742 3352 ramal 205;https://teresopolis.rj.gov.br/;luziamartharosacorrea@yahoo.com.br;;25963-083;AVENIDA  Feliciano Sodré;675;Várzea Centro;TERESOPOLIS;RJ;1º andar;PROCON
 PROCON MUNICIPAL DE TIETE;E-mail;(15)3282-1575;https://www.procon.sp.gov.br/tiete;procontiete@tiete.sp.gov.br;;18530-000;RUA  Bento Antônio de Moraes;78;Centro;TIETE;SP;;PROCON
 PROCON MUNICIPAL DE TIJUCAS;Carta;(48) 3263-6378;;procon@tijucas.sc.gov.br;;88200-000;RUA  Jacob Lameu Tavares;100;;TIJUCAS;SC; Sala 4,5,6 ;PROCON
 PROCON MUNICIPAL DE TIMBAUBA ;Site;(81) 3631-3485;;timbauba@procon.pe.gov.br;;55870-000;RUA  DR. ALCEBÍADES;276;CENTRO;TIMBAUBA;PE;;PROCON
 PROCON MUNICIPAL DE TIMBO;Site;(47) 3399-0574 e (47) 3382-3655 - Ramal: 2373;;osvaldo.procon@timbo.sc.gov.br ;;89120-970;AVENIDA  7 de Setembro;595;Centro;TIMBO;SC;;PROCON
 PROCON MUNICIPAL DE TIMOTEO;Site;(31)3847-4758;http://www.timoteo.mg.gov.br;procon_timoteo@yahoo.com.br;;35.180-006";RUA  8 de Dezembro; n° 50 ;Centro;TIMOTEO;MG; parte superior da rodoviária ;PROCON
 PROCON MUNICIPAL DE TIO HUGO;Carta;(54) 3338-9167;http://www.tiohugo.rs.gov.br;procon@tiohugo.rs.gov.br;;99.345-000;RUA  Rio de Janeiro;92;Centro;TIO HUGO;RS;;PROCON
 PROCON MUNICIPAL DE TOLEDO;Site;(45) 3277-7555;;procon@toledo.pr.gov.br;; 85900-120;RUA  GENERAL ESTILAC LEAL;1529;CENTRO;TOLEDO;PR;SALA 1;PROCON
 PROCON MUNICIPAL DE TORRES;Carta;(51) 3626-3060;http://www.torres.rs.gov.br/;procon@torres.rs.gov.br;;95.560-000;AVENIDA  Beijamin Constant;154;Centro;TORRES;RS;;PROCON
 PROCON MUNICIPAL DE TRAMANDAI;Carta;(51) 3661-1401;http://www.tramandai.rs.gov.br;procon@tramandai.rs.gov.br;;95.595-000;AVENIDA  Igreja;346;Centro;TRAMANDAI;RS;2º andar;PROCON
 PROCON MUNICIPAL DE TRES BARRAS;E-mail;(47)3622-8399;https://www.procon.sc.gov.br/index.php/artigos-procons-municipais/251-procons;procon.tresbarras@hotmail.com;;89490-000;AVENIDA  Abraão Mussi (anexo ao CAIC);S/n;São Cristovão;TRES BARRAS;SC;;PROCON
 PROCON MUNICIPAL DE TRES LAGOAS;Site;(67) 3929–1819, (67) 3929-1820 e (67) 3929-1453;http://ouvidoria.treslagoas.ms.gov.br/;procon@treslagoas.ms.gov.br;;79601-970;RUA  Orestes Prata Tibery;1762;Centro;TRES LAGOAS;MS;;PROCON
 PROCON MUNICIPAL DE TRES PASSOS;Site;(55) 3522-3006 e (55) 3522-9038;http://www.trespassos-rs.com.br;procontrespassos@bol.com.br;;98.600-000;RUA  Salgado Filho;125;Centro;TRES PASSOS ;RS;;PROCON
 PROCON MUNICIPAL DE TRES PONTAS;Carta ;(35)3266-2153;http://www.trespontas.mg.gov.br;procon@trespontas.mg.gov.br;;37.190-000"; RUA  Marechal Deodoro; nº 57 ;Centro;TRES PONTAS;MG;Sala 27;PROCON
 PROCON MUNICIPAL DE TRES RIOS;Carta;(24) 2252-3939;;procon@cvtr.rj.gov.br;;25802-120;RUA  Duque de Caxias;75;CENTRO;TRES RIOS;RJ;;PROCON
 PROCON MUNICIPAL DE TREZE TILIAS;Site;(49) 3537-0287;https://www.procon.sc.gov.br/;procon@trezetilias.sc.gov.br;;89650-000;RUA  ANTÔNIO CARLOS  ALTENBURGER;268;CENTRO;TREZE TILIAS;SC;;PROCON
 PROCON MUNICIPAL DE TUBARAO;Site;(48) 3621-9818 e (48) 3621-9819;;procon@tubarao.sc.gov.br;;88701-200;RUA  Nossa Senhora da Piedade;39;Centro;TUBARAO;SC;;PROCON
 PROCON MUNICIPAL DE TUCURUI;Carta;;;atendimento.tucurui@procon.pa.gov.br / procon.tucurui@procon.pa.gov.br ;;68456-120 ;RUA  José Neres Torres;57;Santa Isabel;TUCURUI;PA;;PROCON
 PROCON MUNICIPAL DE TUPA;Carta;(14)3491-5395;https://www.procon.sp.gov.br/tupa;procon@tupa.sp.gov.br;;17600-260;AVENIDA  Tapuias;907;Centro;TUPA;SP;;PROCON
 PROCON MUNICIPAL DE TUPANCIRETA;Carta;(55) 3272-1766;http://www.tupancireta.rs.gov.br/ ;procon@tupancireta.rs.gov.br;;98.170-000;RUA  Expedicionário João Moreira Alberto;181;Centro;TUPANCIRETA;RS;;PROCON
 PROCON MUNICIPAL DE UBA;Site;(32)3531-5600;http://www.uba.mg.gov.br;procon@uba.mg.gov.br;;36.500-000";AVENIDA  Raul Soares; nº 191 ; Centro;UBA;MG;;PROCON
 PROCON MUNICIPAL DE UBATUBA;Site;(12)3833.7227 / 7116 / 9903;https://www.procon.sp.gov.br/ubatuba;procon@ubatuba.sp.gov.br;;11680-000;RUA  Dona Maria Alves;805;Centro;UBATUBA;SP;;PROCON
 PROCON MUNICIPAL DE UBERLANDIA;Site;(34) 3291-1600;;procon@uberlandia.mg.gov.br;;38405-040;AVENIDA  BENJAMIM MAGALHÃES;3;TIBERY;UBERLANDIA;MG;;PROCON
 PROCON MUNICIPAL DE UBIRATA;Carta;(44) 3543-2276;http://www.ubirata.pr.gov.br;procon@ubirata.pr.gov.br;;85440-000;AVENIDA  Nilza de Oliveira Pipino;2090;Centro;UBIRATA;PR;;PROCON
 PROCON MUNICIPAL DE UNIAO DA VITORIA;Carta;(42) 3524-4346;http://www.pmuniaodavitoria.com.br;proconuva@gmail.com;;84600-900;AVENIDA  Manoel Ribas;629;Centro;UNIAO DA VITORIA;PR;;PROCON
 PROCON MUNICIPAL DE URUGUAIANA;Carta;(55) 3412-6669;http://www.uruguaiana.rs.gov.br;proconuruguaiana@gmail.com;;97.502-436;RUA  Travessa Coronel Brasil;s/n;São João;URUGUAIANA;RS;Esplanada da Estação;PROCON
 PROCON MUNICIPAL DE URUSSANGA;Carta;(48) 3465-2620 e (47) 3465-0183;https://www.procon.sc.gov.br/index.php/artigos-procons-municipais;procon@urussanga.sc.gov.br / proconurussanga@gmail.com;;88840-000;AVENIDA  Ivo Silveira;1710;;URUSSANGA;SC;TERMINAL RODOVIÁRIO DIONÍSIO PILOTTO - Caixa Postal 103;PROCON
 PROCON MUNICIPAL DE VACARIA;Carta;(54) 3232-5747;http://www.vacaria.rs.gov.br;procon@vacaria.rs.gov.br;;95.200-000;RUA  Dona Laura;84;Centro;VACARIA;RS;;PROCON
 PROCON MUNICIPAL DE VALINHOS;Telefone ;(19) 3849-1140;;procon@valinhos.sp.gov.br;;13274-465;RUA  Largo São Sebastião;181;Chácaras Alpina;VALINHOS;SP;;PROCON
 PROCON MUNICIPAL DE VALPARAISO;Carta;(18)3824-7141;https://www.procon.sp.gov.br/valparaiso;procon@valparaiso.sp.gov.br;;16880-000;Praça Benedito de Mello;280;Centro;VAPARAISO;SP;;PROCON
 PROCON MUNICIPAL DE VARGEM GRANDE DO SUL;Carta;(19) 3641-9032;www.procon.sp.gov.br;procon@vgsul.sp.gov.br / proconvgs@gmail.com;;13880000;Praça Washington Luis ;643;Centro;VARGEM GRANDE DO SUL;SP;;PROCON
 PROCON MUNICIPAL DE VARZEA GRANDE;Site;(65) 3692-2476;;proconvg.mt@gmail.com;;78125-900;AVENIDA  Castelo Branco ;2500;Centro Sul;VARZEA GRANDE;MT;Paço Municipal;PROCON
 PROCON MUNICIPAL DE VARZEA PAULISTA;Telefone ;(11) 4595-0557;;procon@varzeapaulista.sp.gov.br;;13220-224;RUA  João Póvoa;97;Jardim do Lar;VARZEA PAULISTA;SP;Sala  3º;PROCON
 PROCON MUNICIPAL DE VASSOURAS;Site;(24) 2491-9039;;proconvassouras@gmail.com;;27700-000;AVENIDA  Otávio Gomes;395;Centro ;VASSOURAS;RJ;;PROCON
 PROCON MUNICIPAL DE VAZANTE;Carta ;(35)3690-2146/2612;www.proconvarginha.com.br;procon@varginha.mg.gov.br;;37.002-000";RUA  Presidente Antônio CARLOS ; nº 356 ;Centro;VERGINHA;MG;;PROCON
 PROCON MUNICIPAL DE VENANCIO AIRES;Site;(51) 3983-1148;http://www.pmva.com.br;procon@venancioaires.rs.gov.br;;95.800-000;RUA  Visconde do Rio Branco;820;Centro;VENANCIO AIRES;RS;;PROCON
 PROCON MUNICIPAL DE VENDA NOVA DO IMIGRANTE;Site;(28) 3546-3396 e (28) 3546-1188;https://procon.es.gov.br/Containers/Item/Display/27;procon@vendanova.es.gov.br;;29375-000;AVENIDA Evande Américo Comarela;385;Bairro Esplanada;VENDA NOVA DO IMIGRANTE;ES;;PROCON
 PROCON MUNICIPAL DE VICOSA;Site;(34)3813-0064;http://www.vazante.mg.gov.br;proconvzt@hotmail.com;;38.780-000";AVENIDA  Castelo Branco; nº 250 ;Independência;VAZANTE;MG;;PROCON
 PROCON MUNICIPAL DE VICTOR GRAEFF;Carta;(54) 3338-1244;http://www.victorgraeff.rs.gov.br;procon.prefeituravg@hotmail.com;;99.350-000;AVENIDA  João Amann;690;Centro;VICTOR GRAEFF;RS;;PROCON
 PROCON MUNICIPAL DE VIDEIRA;Carta;(49) 3566-0292;;proconvda@yahoo.com.br;;89560-000;RUA  SAUL BRANDALISE;519;CENTRO;VIDEIRA;SC;;PROCON
 PROCON MUNICIPAL DE VINHEDO;Site;(19) 3826-3008, (19) 3876-5502 e (19) 3826-7569;https://www.vinhedo.sp.gov.br/;diretoria.procon@vinhedo.sp.gov.br / cartorio.procon@vinhedo.sp.gov.br;;13280-000;RUA  Humberto Pescarini;301;Centro;VINHEDO;SP;;PROCON
 PROCON MUNICIPAL DE VIRADOURO;Carta;(17) 3392-8844;;proconviradouro@hotmail.com;;14.740-000;Praça Francisco Braga;56;CENTRO;VIRADOURO;SP;SALA 1;PROCON
 PROCON MUNICIPAL DE VISCONDE DO RIO BRANCO;Site;(31)3892-5222;www.vicosa.mg.gov.br;proconvicosa@yahoo.com.br;;36.570-000";Praça do Rosário; nº 01 ;Centro;VICOSA;MG; Sala 1005;PROCON
 PROCON MUNICIPAL DE VOLTA REDONDA;Carta;(24) 3339-9205;;procon@voltaredonda.rj.gov.br;;27230-150; RUA   Antônio Barreiros;94; Nossa Sra. das Gracas;VOLTA REDONDA;RJ;;PROCON
 PROCON MUNICIPAL DE VOTORANTIM;Site;(15) 3243-4201, (15) 3243-1628 e (15) 3243-0838;;duvidasprocon@votorantim.sp.gov.br;;18110-095;RUA  Eduardo Prado;138;Centro ;VOTORANTIM;SP;;PROCON
 PROCON MUNICIPAL DE VOTUPORANGA;Site;(17)3422-8930 / 3422-6106;https://www.procon.sp.gov.br/votuporanga;procon@votuporanga.sp.gov.br;;15500-010;RUA  São Paulo;3741; Patrimônio Velho Votuporanga;VOTUPORANGA;SP;;PROCON
 PROCON MUNICIPAL DE XANXERE;Site;(49) 3441-8512 e (49) 3441-8513;;procon@xanxere.sc.gov.br;; 89820-000;RUA  PAPA JOÃO XXIII;715;CENTRO;XANXERE;SC;SALA 01;PROCON
 PROCON MUNICIPAL DE XAXIM;E-mail;(49) 3353-5453;https://www.procon.sc.gov.br/index.php/artigos-procons-municipais/251-procons;procon@xaxim.sc.gov.br;;89825-000;RUA  Aquiles Biazotto;122;Guarany;XAXIM;SC;;PROCON
DECON ACARAU;Carta;(88) 3661-4362 e (88) 3661-1496;http://www.mpce.mp.br/decon/atendimento-no-interior/;cibelle.carvalho@mpce.mp.br;;62580-000;Praça do Liceu;S/N;Monsenhor Sabino;ACARAU;CE;;PROCON
DECON AQUIRAZ;Carta;(85) 3361-2213 e (85) 3361-2211;http://www.mpce.mp.br/decon/atendimento-no-interior/;sebastiao.moreira@mpce.mp.br;;61700-000;AVENIDA  Augusto Sá;S/N;Centro;AQUIRAZ;CE;;PROCON
DECON ARACATI ;Carta;(88) 3421.4068 e (88) 3421-4552;;virginia.goncalves@mpce.mp.br;; 62800-000;RUA  Coronel Alexanzito;927;Centro;ARACATI;CE;;PROCON
DECON ARACATI  - REGIONAL ARACATI;Carta;(88) 3421-4068 ;;liduina.martins@mp.ce.gov.br ;DECON ARACATI ;62800-000 ;RUA  Coronel Alexandrito;594;Centro;ARACATI;CE;;PROCON
DECON BARBALHA;Site;(88) 3532-3913;http://www.decon.ce.gov.br/atendimentos/unidadesatendimento.asp;crdbarbalha@mpce.mp.br;;63180-000;RUA  João Saraiva da Cruz;120;Conj. N. Sra. de Fátima;BARBALHA;CE;;PROCON
DECON BATURITE VIAJANTE - MPCE;Site;;http://www.mpce.mp.br/;ouvidoria@mpce.mp.br;;60050-011;RUA  ASSUNÇÃO;1100;JOSÉ BONIFÁCIO;FORTALEZA;CE;;PROCON
